TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PP,CDS,PH,FE-JONS,PCPE-EK,POSI,UCE,F.N.,UNA,UV,E.U.,PSE-EE/PSOE,PREPAL,AA,LV-GV,DN,PACMA/ZAAAA,MSR,UCL,PUM+J,PFYV,FA,CDL,AES,UPD,IF,PNV...(E09),SAIN,PSA,ARALAR-EA...(E09),IZAN-RG,RC,EB-B...(E09),LIBERTAS-C´S,I.I.
BIZKAIA,002,086,SOPUERTA,2072,852,10,842,6,836,1220,65,0,0,0,1,1,0,0,0,0,0,170,0,0,1,0,2,0,0,1,2,0,0,0,6,0,332,1,0,129,1,0,12,0,112
BIZKAIA,002,087,TRUCIOS-TURTZIOZ,457,233,1,232,1,231,224,29,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,0,1,0,129,0,1,11,0,0,0,0,29
BIZKAIA,002,090,BALMASEDA,6000,3162,29,3133,21,3112,2838,265,0,2,0,4,5,1,2,0,0,0,925,0,1,18,1,6,0,1,4,2,1,0,0,29,1,1385,1,2,144,5,0,36,1,270
BIZKAIA,002,096,ZALLA,6673,3442,40,3402,45,3357,3231,213,1,0,0,2,2,0,0,1,0,0,709,0,2,14,1,15,0,0,3,4,1,2,1,14,0,1935,0,1,153,0,3,29,1,250
BIZKAIA,002,912,ALONSOTEGI,2370,1326,3,1323,11,1312,1044,95,0,0,0,1,0,0,0,0,0,0,288,1,0,2,0,1,0,0,1,3,0,0,0,15,1,609,0,0,79,2,1,16,0,197
BIZKAIA,002,913,ZIERBENA,1190,587,1,586,5,581,603,29,0,0,0,0,1,0,0,0,0,0,97,0,0,0,0,1,0,0,1,2,0,0,0,0,0,329,0,0,18,0,0,6,0,97
BIZKAIA,003,001,ABADIÑO,5873,2407,7,2400,36,2364,3466,321,0,0,0,1,0,0,0,0,1,0,615,3,0,10,0,3,0,0,1,4,0,0,1,3,1,624,1,0,117,1,0,31,0,626
BIZKAIA,003,003,AMOREBIETA-ETXANO,14161,6405,25,6380,34,6346,7756,457,0,2,0,10,8,3,0,0,0,1,1432,2,1,34,0,11,1,0,6,3,0,0,2,35,4,2483,1,0,360,5,2,141,4,1338
BIZKAIA,003,005,ARAKALDO,80,46,0,46,2,44,34,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,2,0,0,0,0,12
BIZKAIA,003,006,ARANTZAZU,257,167,1,166,2,164,90,3,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89,1,0,11,0,0,0,0,52
