,id_provincia,año,Partidos,Votos
520,1,2024,EXISTE,119
521,2,2024,EXISTE,179
522,3,2024,EXISTE,599
523,4,2024,EXISTE,119
524,5,2024,EXISTE,111
525,6,2024,EXISTE,260
526,7,2024,EXISTE,204
527,8,2024,EXISTE,1433
528,9,2024,EXISTE,772
529,10,2024,EXISTE,258
530,11,2024,EXISTE,411
531,12,2024,EXISTE,831
532,13,2024,EXISTE,177
533,14,2024,EXISTE,133
534,15,2024,EXISTE,165
535,16,2024,EXISTE,514
536,17,2024,EXISTE,96
537,18,2024,EXISTE,407
538,19,2024,EXISTE,260
539,20,2024,EXISTE,152
540,21,2024,EXISTE,108
541,22,2024,EXISTE,1591
542,23,2024,EXISTE,1581
543,24,2024,EXISTE,265
544,25,2024,EXISTE,60
545,26,2024,EXISTE,231
546,27,2024,EXISTE,59
547,28,2024,EXISTE,4104
548,29,2024,EXISTE,295
549,30,2024,EXISTE,768
550,31,2024,EXISTE,616
551,32,2024,EXISTE,64
552,33,2024,EXISTE,500
553,34,2024,EXISTE,226
554,35,2024,EXISTE,177
555,36,2024,EXISTE,144
556,37,2024,EXISTE,225
557,38,2024,EXISTE,173
558,39,2024,EXISTE,199
559,40,2024,EXISTE,187
560,41,2024,EXISTE,548
561,42,2024,EXISTE,3252
562,43,2024,EXISTE,191
563,44,2024,EXISTE,5356
564,45,2024,EXISTE,236
565,46,2024,EXISTE,1620
566,47,2024,EXISTE,600
567,48,2024,EXISTE,419
568,49,2024,EXISTE,734
569,50,2024,EXISTE,8275
570,51,2024,EXISTE,6
571,52,2024,EXISTE,9
572,1,2024,IZQESP,135
573,2,2024,IZQESP,226
574,3,2024,IZQESP,882
575,4,2024,IZQESP,269
576,5,2024,IZQESP,112
577,6,2024,IZQESP,281
578,7,2024,IZQESP,427
579,8,2024,IZQESP,2289
580,9,2024,IZQESP,397
581,10,2024,IZQESP,243
582,11,2024,IZQESP,923
583,12,2024,IZQESP,244
584,13,2024,IZQESP,250
585,14,2024,IZQESP,572
586,15,2024,IZQESP,466
587,16,2024,IZQESP,99
588,17,2024,IZQESP,196
589,18,2024,IZQESP,687
590,19,2024,IZQESP,208
591,20,2024,IZQESP,271
592,21,2024,IZQESP,224
593,22,2024,IZQESP,197
594,23,2024,IZQESP,297
595,24,2024,IZQESP,380
596,25,2024,IZQESP,100
597,26,2024,IZQESP,295
598,27,2024,IZQESP,111
599,28,2024,IZQESP,8222
600,29,2024,IZQESP,1020
601,30,2024,IZQESP,828
602,31,2024,IZQESP,542
603,32,2024,IZQESP,82
604,33,2024,IZQESP,1568
605,34,2024,IZQESP,158
606,35,2024,IZQESP,455
607,36,2024,IZQESP,311
608,37,2024,IZQESP,289
609,38,2024,IZQESP,473
610,39,2024,IZQESP,610
611,40,2024,IZQESP,162
612,41,2024,IZQESP,1605
613,42,2024,IZQESP,52
614,43,2024,IZQESP,175
615,44,2024,IZQESP,98
616,45,2024,IZQESP,302
617,46,2024,IZQESP,1484
618,47,2024,IZQESP,1011
619,48,2024,IZQESP,388
620,49,2024,IZQESP,166
621,50,2024,IZQESP,1083
622,51,2024,IZQESP,23
623,52,2024,IZQESP,14
624,1,2024,PFAC,275
625,2,2024,PFAC,162
626,3,2024,PFAC,1200
627,4,2024,PFAC,204
628,5,2024,PFAC,61
629,6,2024,PFAC,289
630,7,2024,PFAC,744
631,8,2024,PFAC,4631
632,9,2024,PFAC,222
633,10,2024,PFAC,196
634,11,2024,PFAC,639
635,12,2024,PFAC,389
636,13,2024,PFAC,161
637,14,2024,PFAC,309
638,15,2024,PFAC,554
639,16,2024,PFAC,74
640,17,2024,PFAC,433
641,18,2024,PFAC,468
642,19,2024,PFAC,152
