Unnamed: 0,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
Paterna del Campo-21056,1956,1754,3465,2671,412,17480,13546,15294,13001
Rosal de la Frontera-21062,861,765,1665,2673,414,17464,13736,15180,12980
Santa Bárbara de Casa-21068,565,510,1102,2744,451,16921,13380,14650,12783
Villablanca-21073,1467,1358,2921,2751,456,16849,13772,14697,12961
Villalba del Alcor-21074,1682,1446,3335,2776,470,16642,13938,14634,13261
Almonte-21005,16203,15059,25233,2790,481,16546,12783,14355,12104
Paymogo-21057,559,501,1137,2801,490,16390,13315,14414,12843
Aroche-21008,1581,1438,3030,2816,498,16220,13315,14216,12651
Manzanilla-21047,1295,1104,2147,2829,507,16044,13239,14354,12725
Rociana del Condado-21061,4694,4373,8048,2881,544,15059,12120,13331,11529
Agrupación municipios pequeños-21,6140,5391,12279,-,-,18783,14805,16257,13856
Jaén,377593,323032,620242,,,21493,16710,18239,15295
"Guardia de Jaén, La-23038",3079,2716,5175,479,20,30234,23909,24433,20485
Jaén-23050,69908,62259,111888,769,36,28063,23464,22943,20228
Ubeda-23092,20348,17329,33810,1205,71,25081,19962,20748,17521
Linares-23055,30962,26156,55096,1373,90,24270,21086,20350,18550
Martos-23060,15085,13042,24363,1635,120,22792,19028,19193,16714
Baeza-23009,10020,8320,15723,1698,126,22455,17273,18835,15667
"Carolina, La-23024",8261,6913,14801,1763,142,22172,18911,18934,16710
Mengíbar-23061,5397,4372,10041,1802,147,21970,18930,18579,16606
Andújar-23005,20611,17395,35788,1973,171,21255,16994,18080,15491
Alcalá la Real-23002,13438,11630,21587,1975,173,21244,16108,18148,14841
Torredonjimeno-23087,8381,7114,13301,1991,177,21192,17575,18114,15853
Mancha Real-23058,6859,5772,11375,2008,180,21117,17820,17969,15891
Cazorla-23028,4287,3687,7067,2124,206,20561,16555,17602,15106
Torre del Campo-23086,8758,7471,13871,2153,212,20381,16089,17383,14831
Orcera-23065,933,798,1735,2325,252,19549,15423,16921,14462
Vilches-23094,2665,2208,4238,2338,257,19498,16411,16904,14943
Bailén-23010,9962,7927,17211,2353,264,19406,16563,16769,15121
Canena-23020,1249,1036,1780,2391,282,19205,15092,16557,14146
"Villares, Los-23099",3866,3329,6079,2403,286,19154,14159,16436,13515
Cárcheles-23901,773,639,1300,2412,289,19104,14355,16463,13682
Fuerte del Rey-23035,749,643,1352,2434,296,18970,15150,16469,14346
Villanueva de la Reina-23096,1810,1544,2964,2495,323,18656,15348,16205,14347
Alcaudete-23003,6444,5562,10265,2541,346,18384,14559,16036,13833
"Puerta de Segura, La-23072",1337,1160,2226,2544,347,18359,14839,15917,14042
Arjona-23006,3315,2861,5349,2547,349,18341,14378,16035,13661
Rus-23074,2139,1714,3453,2549,351,18331,14682,16030,13979
Siles-23082,1233,1055,2137,2557,355,18296,13845,15977,13193
Baños de la Encina-23011,1433,1142,2558,2559,356,18294,15967,16125,15011
Puente de Génave-23071,1319,1120,2168,2583,367,18109,13877,15682,13196
Peal de Becerro-23066,3257,2816,5325,2584,368,18098,14012,15787,13376
Marmolejo-23059,4178,3610,6586,2585,369,18096,14280,15759,13675
Villatorres-23903,2658,2271,4261,2602,376,18008,14423,15744,13669
Guarromán-23039,1391,1149,2782,2613,380,17963,15318,15794,14343
"Iruela, La-23047",1075,944,1881,2650,400,17662,13988,15426,13312
Villacarrillo-23095,6493,5609,10344,2652,401,17657,13405,15418,12937
Torreperogil-23088,4507,3670,7108,2670,411,17481,14708,15358,13932
Jamilena-23051,2067,1747,3319,2677,416,17441,14366,15319,13510
Segura de la Sierra-23081,1074,997,1710,2683,419,17413,13280,15166,12760
Villanueva del Arzobispo-23097,4772,3967,7933,2701,425,17222,13128,14993,12677
Pegalajar-23067,1751,1443,2822,2702,426,17210,14258,15172,13600
Santiago-Pontones-23904,1328,1182,2729,2717,436,17127,13387,14849,12835
