TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,PH,FE-JONS,EK-PCPE,P.A.,E.U.,PREPAL,DN,PACMA/ATTKA,MSR,UPYD,C´S,I.FEM,SAIN,IU-LV,EB-AZ,EH BILDU,EAJ-PNV ... (E14),FAC,EPDD,IMPULSOSOCIAL,RECORTES CERO,EQUO-PUM+J,VOX,P-LIB,PARTIDO X,D. E. R.,IPEX-PREX-CREX,M.C.R.,RRUE,PODEMOS,ALTER,PT,LEM,PIRATAS,ACNV-BAR-PRAO-...,MOVIMIENTO RED,CILUS
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,9,U,1036,458,5,453,3,450,578,44,37,0,0,0,0,0,0,0,2,0,8,2,5,0,28,7,145,126,1,0,0,0,5,1,1,5,0,0,0,0,30,0,0,0,0,0,2,1
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,10,A,642,265,5,260,4,256,377,34,24,1,0,0,0,0,0,0,4,0,7,1,0,0,9,1,88,56,0,0,1,0,2,0,1,2,0,1,0,0,23,1,0,0,0,0,0,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,10,B,684,265,2,263,3,260,419,53,17,1,0,0,1,0,0,0,2,0,5,2,1,0,21,0,63,63,0,0,0,4,0,1,0,0,0,0,0,0,22,1,2,0,0,0,1,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,11,U,623,269,2,267,0,267,354,25,25,0,0,0,0,0,0,0,3,0,3,1,0,0,16,1,96,76,0,1,0,0,4,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,12,U,571,255,2,253,4,249,316,46,46,0,0,0,0,0,0,1,1,0,9,2,0,0,14,0,58,49,0,0,0,1,2,0,0,1,0,0,0,0,18,0,0,0,0,0,0,1
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,13,U,993,393,5,388,7,381,600,41,26,0,0,0,1,0,0,1,1,0,8,3,0,0,28,4,101,109,0,1,0,2,5,2,0,3,0,0,1,0,38,1,0,0,0,1,3,1
ARABA-ÁLAVA,37,ARRAIA-MAEZTU,1,1,U,601,264,3,261,2,259,337,13,36,0,0,0,0,0,0,0,2,2,6,1,0,0,10,0,85,82,1,0,0,0,4,1,0,1,0,1,0,0,10,0,1,0,0,0,3,0
ARABA-ÁLAVA,39,MOREDA DE ÁLAVA/MOREDA ARABA,1,1,U,211,118,6,112,0,112,93,26,16,0,0,0,0,0,0,0,0,0,5,3,0,0,10,1,14,28,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0
ARABA-ÁLAVA,41,NAVARIDAS,1,1,U,152,85,2,83,2,81,67,5,32,0,0,0,0,0,0,0,1,1,4,0,0,0,1,1,2,29,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ARABA-ÁLAVA,42,OKONDO,1,1,U,901,416,10,406,5,401,485,13,20,0,0,0,0,0,0,0,6,0,7,2,1,0,9,7,160,154,1,0,0,0,3,1,0,1,0,0,1,0,13,0,0,0,0,0,2,0
