TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,EB,CDS,EKA,PH,FE-JONS,POSI,PREPAL,PADE,TC-PNC,DN,FE,ARALAR,PNV...(E04),N.I.V.,CUP,UCL,EA...(E04),NOS-UP,EC,PUM+J,PFYV,PASOC,PCPE-LI.(LIT-CI),CL,P.CANNABIS,CE...(E04),FA,PARADOS,B-GV
ARABA-ÁLAVA,002,052,SAMANIEGO,252,150,13,137,0,137,102,33,17,6,0,0,1,0,0,0,0,0,0,0,0,73,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1
ARABA-ÁLAVA,002,053,SAN MILLÁN / DONEMILIAGA,608,197,25,172,1,171,411,16,41,1,0,0,0,0,0,0,0,0,0,0,3,92,1,0,0,9,0,0,0,1,1,0,1,4,0,0,0,1
ARABA-ÁLAVA,002,054,URKABUSTAIZ,772,372,101,271,1,270,400,43,66,6,0,1,0,0,0,0,0,0,0,0,1,132,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2
ARABA-ÁLAVA,002,055,VALDEGOVÍA / GAUBEA,934,476,30,446,1,445,458,79,170,15,0,0,0,0,0,0,0,0,0,0,2,152,0,0,0,14,0,0,0,0,0,1,1,9,0,0,0,2
ARABA-ÁLAVA,002,056,HARANA / VALLE DE ARANA,294,134,7,127,0,127,160,11,54,0,0,0,0,0,0,0,0,0,0,0,1,57,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1
ARABA-ÁLAVA,002,057,VILLABUENA DE ÁLAVA / ESKUERNAGA,275,186,20,166,1,165,89,18,40,3,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,12,0,0,0,0,0,0,0,1,1,0,0,0
ARABA-ÁLAVA,002,058,LEGUTIANO,1240,530,132,398,0,398,710,74,45,23,0,0,0,0,0,0,0,0,1,0,4,174,1,0,0,74,0,0,1,0,0,0,0,0,0,0,1,0
ARABA-ÁLAVA,002,060,YÉCORA / IEKORA,230,150,1,149,0,149,80,26,76,2,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARABA-ÁLAVA,002,061,ZALDUONDO,136,89,14,75,2,73,47,14,8,5,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
ARABA-ÁLAVA,002,062,ZAMBRANA,316,185,6,179,0,179,131,29,62,3,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,2,0,0,0,1,0,0,0,3,0,1,0,0
